reviews
""
"
Nice gift to give! However not sure how long the product may last !! Lately observed that watches don't last for more than 5-6 years !! Don't expect electronic stuff to be kept as memory these days !!
"
"




                    The media could not be loaded.
                


"
"
Super
"
"
Too heavy. The dial glass is not scratch proof
"
"
Good looking slim watch
"
"
Nice watch
"
"
Very good value for money. Excellent time keeping and great looks. Enjoying it tremendously.
"
"
A little disappointed because It was not as shown in the picture. The colour of the dail was brown rather than black. Also the gold plaited looks cheap.
"
"
good
"
""
"
Nice gift to give! However not sure how long the product may last !! Lately observed that watches don't last for more than 5-6 years !! Don't expect electronic stuff to be kept as memory these days !!
"
"




                    The media could not be loaded.
                


"
"
Super
"
"
Too heavy. The dial glass is not scratch proof
"
"
Good looking slim watch
"
"
Nice watch
"
"
Very good value for money. Excellent time keeping and great looks. Enjoying it tremendously.
"
"
A little disappointed because It was not as shown in the picture. The colour of the dail was brown rather than black. Also the gold plaited looks cheap.
"
"
good
"
"
Great
"
"
Watch Is Awesome But Packaging is Bad, Watch box was broken but watch was good, value for money and light weight.
"
"
All good
"
"
Best for gifting, I gifted to my husband and he is happy from the product
"
"
It's a good product
"
"
Looks classy has three more function aside from time which are time format in 24 hour, date and days. The brown strap fits in with almost any look
"
"
Everything good nice perfect
"
"
The watch looks great. The inner design is great and feels light in hand.
"
"
Very nice watch
"
"
Best company of watches in India.
"
""
"
Watch Is Awesome But Packaging is Bad, Watch box was broken but watch was good, value for money and light weight.
"
"
All good
"
"
Best for gifting, I gifted to my husband and he is happy from the product
"
"
It's a good product
"
"
Looks classy has three more function aside from time which are time format in 24 hour, date and days. The brown strap fits in with almost any look
"
"
Everything good nice perfect
"
"
The watch looks great. The inner design is great and feels light in hand.
"
"
Very nice watch
"
"
Best company of watches in India.
"
""
"
Looks dashing on my hands best buy
"
""
""
"
Good  for professional Look
"
"
Good product bought for my hus
"
"
Comfortable
"
"
This quartz watch has decent craftsmanship & is made of stainless steel. The watch face is about 42mm and so, it may look a little bit big if you have a small wrist.The watch has 3 functioning subdials which show us either the day, date, or the time in 24hr format. The subdial at the 3 o'clock position shows the day of the week while the subdial at the 6 o'clock position shows the date of the month, and the subdial at the 9 o'clock position shows the current time in 24hr format. The day & date subdials change around 12am to 2:30am to show the next day & date. As I understand, it's best to not change the time during this period as it may affect the proper functioning of day & date subdials.The watch is 50m (5 BAR) water resistant, which means light swimming & showering with the watch is alright. Also, the straps are made of genuine leather.I personally loved the look of the watch along with my faith in the quality of products by the brand and so, I went for it. If this watch appeals to your taste, then go for it!
"
"
Good Quality product, Excellent service and fast delivery by Amazon.
"
"
Considering the price, the watch worth it and it is comfortable to wear for whole day.
"
"
BeautifulVery small dile of day and date we can't see easy
"
""
"
It is good , but the leather has started coming off , within few weeks of usage
"
"
This product that I bought is very good and watch looks so amazing and stylish I just loved it
"
"
Paid more then 4k for this watch and it got broke only after 2 days of wear very disappointed i actually gifted this watch to my husband and here are the results not a worth buy for sure
"
"
👍
"
"




                    The media could not be loaded.
                



 Leather belt quality is very poor
"
"
Attractive product.. it was the same as shown in the Amazon page.The only thing is..it was delivered to somebody else and later got it after difficult tracking.
"
"
NIL
"
""
"
It's Good...value for money on discounts
"
"
Serial number is not matching with warrenty card and watch. Doubting about originality.
"
"
Nice....
"
"
3100 tk the best hai...... Le lo socho mt
"
"




                    The media could not be loaded.
                



 nice product 😀
"
"
Very disappointed about  leather strap.I replaced my first watch as strap open side from where it's leather pasted by glue.Within 3 days I got a replacement of watch of same model.But that also within 1 day strap open from pasted side. So I took this watch to 👜 repair shop for pasting it again by glue.I don't know whether titan giving a warrantee on leather or not. But they should provide a better leather strap.First worst experience with titan.
"
""
"
Very nice product
"
"
Looks classy nd retro fashioned one...cool for office...
"
